rank,feature_idx,cohens_d,auroc,fire_rate_tool,fire_rate_nontool,diff,mean_tool,mean_nontool,sign
634,249,0.010083,0.994041,0.0080,0.0040,0.004072,0.031010,0.026938,tool
635,508,-0.010048,0.996034,0.0020,0.0020,-0.001916,0.007456,0.009372,nontool
636,688,0.009704,0.988893,0.0100,0.0080,0.003816,0.038984,0.035168,tool
637,527,-0.009447,0.965596,0.0300,0.0260,-0.007424,0.126585,0.134010,nontool
638,41,0.009119,0.996012,0.0040,0.0020,0.002954,0.018393,0.015439,tool
639,414,-0.008878,0.997003,0.0010,0.0010,-0.000910,0.002755,0.003665,nontool
640,349,0.008490,0.997004,0.0020,0.0010,0.001986,0.009815,0.007829,tool
641,46,0.008172,0.996005,0.0040,0.0030,0.001967,0.015101,0.013133,tool
642,22,0.007928,0.961436,0.0220,0.0300,0.009723,0.156639,0.146916,tool
643,181,-0.007830,0.997003,0.0010,0.0010,-0.001124,0.003944,0.005068,nontool
644,605,-0.007492,0.996006,0.0010,0.0020,-0.001871,0.008452,0.010323,nontool
645,701,0.006990,0.995014,0.0060,0.0030,0.001781,0.017263,0.015482,tool
646,369,-0.006732,0.995065,0.0030,0.0030,-0.001714,0.013066,0.014779,nontool
647,39,-0.006656,0.927031,0.0510,0.0560,-0.007486,0.251574,0.259060,nontool
648,514,-0.005949,0.997003,0.0010,0.0010,-0.000667,0.003196,0.003863,nontool
649,102,0.005561,0.983647,0.0170,0.0120,0.002675,0.058138,0.055462,tool
650,801,-0.005310,0.992527,0.0040,0.0050,-0.002765,0.032671,0.035436,nontool
651,453,-0.005101,0.996006,0.0020,0.0020,-0.000883,0.007258,0.008141,nontool
652,200,-0.004977,0.997003,0.0010,0.0010,-0.000718,0.004192,0.004910,nontool
653,750,0.004964,0.992528,0.0030,0.0050,0.001772,0.022127,0.020355,tool
654,798,-0.004320,0.988897,0.0040,0.0080,-0.002949,0.043108,0.046057,nontool
655,584,-0.003635,0.994022,0.0060,0.0040,-0.001263,0.022721,0.023984,nontool
656,543,-0.003474,0.997032,0.0010,0.0010,-0.000499,0.004286,0.004785,nontool
